query_id,bm25,dense,years,skill_overlap,quality,intent_conf,relevance
7,0.75,0.559,15.0,0,0.6,0.8,0
7,0.5,0.421,15.0,0,0.6,0.8,0
7,0.0,0.538,9.0,0,0.6,0.5,0
7,0.5,0.528,15.0,0,0.999,0.8,0
7,0.5,0.415,10.0,0,1.0,0.8,0
7,0.5,0.568,15.0,0,0.6,0.8,0
7,0.0,0.584,0.0,0,0.6,0.5,0
7,0.0,0.431,0.0,0,0.6,0.5,0
7,0.0,0.404,1.0,0,0.6,0.5,0
7,0.0,0.534,0.0,0,0.6,0.5,0
7,0.0,0.44,0.0,0,0.6,0.5,0
7,0.75,0.592,15.0,0,1.0,0.8,0
7,0.5,0.577,15.0,0,1.0,0.8,0
7,0.5,0.402,15.0,0,0.974,0.8,0
7,0.0,0.417,0.0,0,0.6,0.5,0
8,0.0,0.566,15.0,0,1.0,0.5,0
8,0.0,0.412,15.0,0,0.6,0.5,0
8,0.0,0.531,10.0,0,0.6,0.5,0
8,0.0,0.579,1.0,0,0.6,0.5,0
8,0.0,0.537,15.0,0,0.6,0.5,0
8,0.0,0.6,1.0,0,1.0,0.5,0
8,0.0,0.454,15.0,0,1.0,0.5,0
8,0.0,0.557,6.0,0,1.0,0.5,0
8,0.0,0.538,15.0,0,0.6,0.5,0
8,0.0,0.593,1.0,0,0.6,0.5,0
8,0.0,0.537,15.0,0,1.0,0.5,0
8,0.0,0.477,7.0,0,1.0,0.5,0
8,0.0,0.483,1.0,0,0.6,0.5,0
8,0.75,0.48,0.0,0,0.6,0.8,0
8,0.0,0.411,10.0,0,1.0,0.5,0
8,0.0,0.519,1.0,0,0.6,0.5,0
8,0.0,0.569,15.0,0,0.6,0.5,0
8,0.0,0.478,15.0,0,0.6,0.5,0
8,0.0,0.44,1.0,0,0.6,0.5,0
8,0.0,0.503,15.0,0,0.6,0.5,0
8,0.75,0.892,0.0,1,0.6,0.8,1
8,0.0,0.546,8.0,0,1.0,0.5,0
8,0.0,0.522,1.0,0,0.6,0.5,0
8,0.0,0.456,15.0,0,0.6,0.5,0
8,0.0,0.551,15.0,0,1.0,0.5,0
8,0.75,0.582,0.0,0,0.6,0.8,0
8,0.0,0.445,5.0,0,1.0,0.5,0
8,0.0,0.505,6.0,0,1.0,0.5,0
8,0.0,0.487,7.0,0,0.6,0.5,0
8,0.0,0.549,36.0,0,0.6,0.5,0
9,0.2,0.546,15.0,0,0.6,0.5,0
9,0.2,0.554,1.0,0,0.6,0.5,0
9,0.2,0.506,15.0,0,1.0,0.5,0
9,0.4,0.514,0.0,0,0.6,0.5,0
9,0.2,0.464,15.0,0,1.0,0.5,0
9,0.4,0.538,12.0,0,1.0,0.5,0
9,0.0,0.497,5.0,0,1.0,0.5,0
9,0.2,0.522,10.0,0,1.0,0.5,0
9,0.2,0.439,15.0,0,0.6,0.5,0
9,0.2,0.526,15.0,0,0.6,0.5,0
9,0.2,0.578,15.0,0,0.6,0.5,0
9,0.4,0.572,4.0,0,1.0,0.5,0
9,0.2,0.516,10.0,0,1.0,0.5,0
9,0.2,0.584,15.0,0,0.6,0.5,0
9,0.2,0.485,15.0,0,0.6,0.5,0
9,0.0,0.448,15.0,0,1.0,0.5,0
9,0.2,0.442,15.0,0,0.991,0.5,0
9,0.0,0.431,15.0,0,0.6,0.5,0
9,0.2,0.511,15.0,0,0.6,0.5,0
9,0.0,0.469,0.0,0,0.6,0.5,0
9,0.2,0.442,15.0,0,0.6,0.5,0
9,0.2,0.484,15.0,0,0.6,0.5,0
9,0.2,0.581,1.0,0,0.6,0.5,0
9,0.2,0.4,15.0,0,1.0,0.5,0
9,0.8,0.467,0.0,0,0.6,0.5,0
9,0.2,0.439,0.0,0,0.6,0.5,0
9,0.2,0.45,15.0,0,0.6,0.5,0
9,0.2,0.431,15.0,0,1.0,0.5,0
9,0.0,0.48,0.0,0,0.6,0.5,0
9,0.2,0.411,15.0,0,1.0,0.5,0
10,0.4,1,0.0,2,0.6,0.8,0
10,0.0,0.521,15.0,0,0.6,0.5,1
10,0.0,0.462,15.0,0,0.6,0.5,1
10,0.0,0.555,15.0,0,0.6,0.5,1
10,0.0,0.521,15.0,0,0.6,0.5,1
10,0.0,0.488,0.0,0,0.6,0.5,1
10,0.0,0.456,0.0,0,0.6,0.5,1
10,0.0,0.505,15.0,0,0.6,0.5,1
10,0.4,1,1.0,2,0.6,0.8,2
10,0.0,0.447,15.0,0,0.6,0.5,1
10,0.0,0.523,5.0,0,1.0,0.8,1
10,0.0,0.515,15.0,0,1.0,0.5,1
10,0.0,0.504,15.0,0,1.0,0.5,1
10,0.0,0.453,4.0,0,1.0,0.5,1
10,0.0,0.449,15.0,0,0.6,0.5,1
10,0.0,0.476,15.0,0,0.6,0.5,1
10,0.2,0.402,7.0,0,1.0,0.8,1
10,0.0,0.476,15.0,0,1.0,0.5,1
10,0.0,0.547,15.0,0,0.6,0.5,1
10,0.0,0.426,15.0,0,0.6,0.5,1
10,0.0,0.405,15.0,0,0.6,0.5,1
10,0.0,0.466,15.0,0,1.0,0.5,1
10,0.0,0.57,15.0,0,1.0,0.5,1
10,0.0,0.556,15.0,0,1.0,0.5,1
10,0.0,0.555,7.0,0,0.6,0.5,1
10,0.0,0.581,15.0,0,0.994,0.5,1
10,0.0,0.491,15.0,0,1.0,0.5,1
10,0.0,0.537,15.0,0,1.0,0.5,1
10,0.4,1,1.0,2,0.6,0.8,2
10,0.0,0.541,15.0,0,0.6,0.5,1
